Barangay ,Population (2020 census),Solid Waste Generation per capita (kg/ day),SW generation (Population x SW segregation) kg/day,Solid Waste Classification,,,,Collection Frequency,,Truck Unit & Capacity,
,,,,Residual (14%) kg/day,Biodegradable (38%) kg/day,Recyclable (50%) kg/day,Special Waste (5%),Times/Week,,38 - 16 tons,
Agusan,19039,0.42,"7,996.38","1,119.49","3,038.62","3,998.19",399.819,7 - nightly |    2 - Morning,,,
Baikingon ,2879,0.42,"1,209.18",205.56,459.49,604.59,60.459,2 - morning,,,
Balubal ,7013,0.42,"2,945.46",500.73,"1,119.27","1,472.73",147.273,2 - morning,,,
Balulang ,42205,0.42,"17,726.10","3,013.44","6,735.92","8,863.05",886.305,7 - nightly |    2 - Morning,,,
Barangay 1 ,168,0.42,70.56,12.00,26.81,35.28,3.528, 7 - nightly,,,
Barangay 2,50,0.42,21.00,3.57,7.98,10.50,1.05, 7 - nightly,,,
Barangay 3,93,0.42,39.06,6.64,14.84,19.53,1.953, 7 - nightly,,,
Barangay 4,68,0.42,28.56,4.86,10.85,14.28,1.428, 7 - nightly,,,
Barangay 5,34,0.42,14.28,2.43,5.43,7.14,0.714, 7 - nightly,,,
Barangay 6,33,0.42,13.86,2.36,5.27,6.93,0.693, 7 - nightly,,,
Barangay 7,544,0.42,228.48,38.84,86.82,114.24,11.424, 7 - nightly,,,
Barangay 8,90,0.42,37.80,6.43,14.36,18.90,1.89, 7 - nightly,,,
Barangay 9,130,0.42,54.60,9.28,20.75,27.30,2.73, 7 - nightly,,,
Barangay 10 ,557,0.42,233.94,39.77,88.90,116.97,11.697, 7 - nightly,,,
Barangay 11,162,0.42,68.04,11.57,25.86,34.02,3.402, 7 - nightly,,,
Barangay 12,257,0.42,107.94,18.35,41.02,53.97,5.397, 7 - nightly,,,
Barangay 13,965,0.42,405.30,68.90,154.01,202.65,20.265, 7 - nightly,,,
Barangay 14,351,0.42,147.42,25.06,56.02,73.71,7.371, 7 - nightly,,,
Barangay 15 ,1847,0.42,775.74,131.88,294.78,387.87,38.787, 7 - nightly,,,
Barangay 16,25,0.42,10.50,1.79,3.99,5.25,0.525, 7 - nightly,,,
Barangay 17,2058,0.42,864.36,146.94,328.46,432.18,43.218, 7 - nightly,,,
Barangay 18,1269,0.42,532.98,90.61,202.53,266.49,26.649, 7 - nightly,,,
Barangay 19,227,0.42,95.34,16.21,36.23,47.67,4.767, 7 - nightly,,,
Barangay 20,80,0.42,33.60,5.71,12.77,16.80,1.68, 7 - nightly,,,
Barangay 21,363,0.42,152.46,25.92,57.93,76.23,7.623, 7 - nightly,,,
Barangay 22,3324,0.42,"1,396.08",237.33,530.51,698.04,69.804, 7 - nightly,,,
Barangay 23,936,0.42,393.12,66.83,149.39,196.56,19.656, 7 - nightly,,,
Barangay 24,607,0.42,254.94,43.34,96.88,127.47,12.747, 7 - nightly,,,
Barangay 25,661,0.42,277.62,47.20,105.50,138.81,13.881, 7 - nightly,,,
Barangay 26,1215,0.42,510.30,86.75,193.91,255.15,25.515, 7 - nightly,,,
Barangay 27,1601,0.42,672.42,114.31,255.52,336.21,33.621, 7 - nightly,,,
Barangay 28,493,0.42,207.06,35.20,78.68,103.53,10.353, 7 - nightly,,,
Barangay 29,476,0.42,199.92,33.99,75.97,99.96,9.996, 7 - nightly,,,
Barangay 30,678,0.42,284.76,48.41,108.21,142.38,14.238, 7 - nightly,,,
Barangay 31,575,0.42,241.50,41.06,91.77,120.75,12.075, 7 - nightly,,,
Barangay 32,792,0.42,332.64,56.55,126.40,166.32,16.632, 7 - nightly,,,
Barangay 33 ,84,0.42,35.28,6.00,13.41,17.64,1.764, 7 - nightly,,,
Barangay 34,529,0.42,222.18,37.77,84.43,111.09,11.109, 7 - nightly,,,
Barangay 35 ,2002,0.42,840.84,142.94,319.52,420.42,42.042, 7 - nightly,,,
Barangay 36,447,0.42,187.74,31.92,71.34,93.87,9.387, 7 - nightly,,,
Barangay 37,181,0.42,76.02,12.92,28.89,38.01,3.801, 7 - nightly,,,
Barangay 38,48,0.42,20.16,3.43,7.66,10.08,1.008, 7 - nightly,,,
Barangay 39,17,0.42,7.14,1.21,2.71,3.57,0.357, 7 - nightly,,,
Barangay 40,339,0.42,142.38,24.20,54.10,71.19,7.119, 7 - nightly,,,
Bayabas ,13991,0.42,"5,876.22",998.96,"2,232.96","2,938.11",293.811,2 - morning,,,
Bayanga ,3402,0.42,"1,428.84",242.90,542.96,714.42,71.442,2 - morning,,,
Besigan ,1700,0.42,714.00,121.38,271.32,357.00,35.7,2 - morning,,,
Bonbon ,10976,0.42,"4,609.92",783.69,"1,751.77","2,304.96",230.496,7 - nightly |    2 - Morning,,,
Bugo ,31229,0.42,"13,116.18","2,229.75","4,984.15","6,558.09",655.809,7 - nightly |    2 - Morning,,,
Bulua ,35397,0.42,"14,866.74","2,527.35","5,649.36","7,433.37",743.337,2 - morning,,,
Camaman-an ,35238,0.42,"14,799.96","2,515.99","5,623.98","7,399.98",739.998,2 - morning,,,
Canitoan,34250,0.42,"14,385.00","2,445.45","5,466.30","7,192.50",719.25,2 - morning,,,
Carmen ,77756,0.42,"32,657.52","5,551.78","12,409.86","16,328.76",1632.876,7 - nightly |    2 - Morning,,,
Consolacion ,9396,0.42,"3,946.32",670.87,"1,499.60","1,973.16",197.316,2 - morning,,,
Cugman,23468,0.42,"9,856.56","1,675.62","3,745.49","4,928.28",492.828,7 - nightly |    2 - Morning,,,
Dansolihon ,6206,0.42,"2,606.52",443.11,990.48,"1,303.26",130.326,2 - morning,,,
F.S Catanico ,2364,0.42,992.88,168.79,377.29,496.44,49.644,2 - morning,,,
Gusa,28974,0.42,"12,169.08","2,068.74","4,624.25","6,084.54",608.454,7 - nightly |    2 - Morning,,,
Indahag,17831,0.42,"7,489.02","1,273.13","2,845.83","3,744.51",374.451,2 - morning,,,
Iponan ,27521,0.42,"11,558.82","1,965.00","4,392.35","5,779.41",577.941,2 - morning,,,
Kauswagan ,40239,0.42,"16,900.38","2,873.06","6,422.14","8,450.19",845.019,7 - nightly |    2 - Morning,,,
Lapasan ,39234,0.42,"16,478.28","2,801.31","6,261.75","8,239.14",823.914,7 - nightly |    2 - Morning,,,
Lumbia,31504,0.42,"13,231.68","2,249.39","5,028.04","6,615.84",661.584,2 - morning,,,
Macabalan,19562,0.42,"8,216.04","1,396.73","3,122.10","4,108.02",410.802,7 - nightly |    2 - Morning,,,
Macasandig ,23235,0.42,"9,758.70","1,658.98","3,708.31","4,879.35",487.935,2 - morning,,,
Mambuaya,5963,0.42,"2,504.46",425.76,951.69,"1,252.23",125.223,2 - morning,,,
Nazareth,6971,0.42,"2,927.82",497.73,"1,112.57","1,463.91",146.391,2 - morning,,,
Pagalungan,2410,0.42,"1,012.20",172.07,384.64,506.10,50.61,2 - morning,,,
Pagatpat,13007,0.42,"5,462.94",928.70,"2,075.92","2,731.47",273.147,7 - nightly ,,,
Patag,17941,0.42,"7,535.22","1,280.99","2,863.38","3,767.61",376.761,7 - nightly |    2 - Morning,,,
Pigsag-an,1428,0.42,599.76,101.96,227.91,299.88,29.988,2 - morning,,,
Puerto ,13174,0.42,"5,533.08",940.62,"2,102.57","2,766.54",276.654,7 - nightly |    2 - Morning,,,
Puntod ,18775,0.42,"7,885.50","1,340.53","2,996.49","3,942.75",394.275,7 - nightly |    2 - Morning,,,
San Simon,1642,0.42,689.64,117.24,262.06,344.82,34.482,2 - morning,,,
Tablon,24578,0.42,"10,322.76","1,754.87","3,922.65","5,161.38",516.138,7 - nightly |    2 - Morning,,,
Taglimao ,1391,0.42,584.22,99.32,222.00,292.11,29.211,2 - morning,,,
Tagpangi ,2823,0.42,"1,185.66",201.56,450.55,592.83,59.283,2 - morning,,,
Tignapoloan ,5621,0.42,"2,360.82",401.34,897.11,"1,180.41",118.041,2 - morning,,,
Tuburan ,1388,0.42,582.96,99.10,221.52,291.48,29.148,2 - morning,,,
Tumpagon ,2305,0.42,968.10,164.58,367.88,338.83,48.405,2 - morning,,,
Total: ,728402,,"305,928.84","51,768.01","116,252.96","152,819.21",15296.442,,,,